Topic,Count,Name,Representation,Representative_Docs
-1,14281,-1_bbc_england_woman_year,"['bbc', 'england', 'woman', 'year', 'world', 'people', 'election', 'world cup', 'police', 'party']","['rishi sunak tax cutter the chancellor want cut tax figure show tax rise watch', 'itv host first general election leader debate rishi sunak sir keir starmer face head to-head debate host itv june', 'budget pension tax cut wrong labour leader sir keir starmer tax break aim keep doctor work apply']"
0,2671,0_ukraine_russia_russian_war,"['ukraine', 'russia', 'russian', 'war', 'ukraine war', 'ukrainian', 'putin', 'kyiv', 'invasion', 'war ukraine']","['ukraine war grim ukrainian shadow russian attack ukrainian see second heaviest aerial bombardment since russia war begin', 'why russia invade ukraine putin want week russia leader unleash war ukraine sign yet end', 'ukraine war zelensky russia control fifth ukrainian territory russian force intensify attack city severodonetsk eastern donbas region']"
1,2193,1_manchester_league_unite_city,"['manchester', 'league', 'unite', 'city', 'liverpool', 'manchester city', 'manchester unite', 'chelsea', 'premier league', 'premier']","['real madrid manchester city champion league final close pep guardiola manchester city bos pep guardiola close side concede three late goal real madrid lose aggregate champion league semi final', 'erling haaland final piece jigsaw manchester city champion league quest four game six goal premier league hat trick erling haaland man fire manchester city champion league glory', 'man city newcastle man city three clear liverpool title race manchester city thrash newcastle unite move three point clear liverpool top premier league']"
2,2124,2_murder_police_kill_shoot,"['murder', 'police', 'kill', 'shoot', 'stab', 'die', 'death', 'crash', 'boy', 'year old']","['olivia pratt korbel arrest nine year-old murder three men detain connection kill nine year-old shoot home', 'woman charge murder six year-old boy year-old woman charge murder six year-old boy', 'boy charge attempt murder year-old girl stab sittingbourne friday kent police']"
3,1234,3_queen_king_prince_charles,"['queen', 'king', 'prince', 'charles', 'king charles', 'royal', 'coronation', 'harry', 'princess', 'prince harry']","['king charles see first time since diagnosis prince harry arrive king charles travel sandringham meet son prince harry fly', 'queen elizabeth day by-day guide funeral the queen coffin lie state westminster hall king charles iii conclude trip around', 'queen elizabeth day by-day guide funeral the queen coffin lie state westminster hall king charles iii conclude trip around']"
4,1075,4_gold_paris_medal_olympic,"['gold', 'paris', 'medal', 'olympic', 'great britain', 'britain', 'win', 'commonwealth', 'commonwealth game', 'olympics']","['win six gold continue bountiful game great britain six gold medal day five paralympicsgb continue bountiful game paris', 'european championship keely hodgkinson win gold woman 800m watch olympic world commonwealth game silver medallist keely hodgkinson win gold britain woman 800m european championship', 'magnificent maskill win third gold paris great britain poppy maskill win third gold medal paralympics paris victory woman s14 100m backstroke']"
5,920,5_cost_food_cost live_price,"['cost', 'food', 'cost live', 'price', 'live', 'rise', 'rent', 'shop', 'debt', 'supermarket']","['what inflation rate cost live rise the rate price rise remain high drive soar food price', 'what inflation rate cost live rise the rate price rise remain high drive soar food price', 'cost live how save money food shop the cost of-living crisis continue bite here thing reduce impact']"
6,848,6_singer_music_band_swift,"['singer', 'music', 'band', 'swift', 'album', 'taylor swift', 'taylor', 'festival', 'pop', 'glastonbury']","['time taylor swift make history from dizzy record become billionaire bring taylor swift history', 'taylor swift her biggest album return track vault taylor swift prepare release record version look behind song', 'taylor swift the story behind biggest album taylor swift prepare release record version look behind song']"
7,847,7_flood_weather_storm_temperature,"['flood', 'weather', 'storm', 'temperature', 'rain', 'snow', 'heatwave', 'heat', 'warning', 'hurricane']","['clean begin storm bert flood property park avenue dundonald flood storm bert bring heavy rain saturday', 'storm ciarán flood warning place brace heavy rain forecaster recent wet weather leave grind saturate heavy rain expect week', 'weather storm rain bring flash flood southern england meet office warn storm flash flood south east continue next hour']"
8,775,8_gaza_israel_hamas_israeli,"['gaza', 'israel', 'hamas', 'israeli', 'palestinian', 'israel gaza', 'war', 'aid', 'netanyahu', 'kill']","['israel gaza explosion pierce gaza darkness israel step bomb israel attack gaza intensify friday night gaza leave darkness', 'israeli strike gaza city kill dozen hamas two attack israel call hamas infrastructure kill least people palestinian group', 'israel gaza war israeli force push south gaza the head israel military idf fight strongly thoroughly southern gaza']"
9,673,9_open_wimbledon_murray_raducanu,"['open', 'wimbledon', 'murray', 'raducanu', 'andy murray', 'emma raducanu', 'novak', 'andy', 'french open', 'emma']","['andy murray withdraw french open prioritise wimbledon britain andy murray withdraw french open prioritise grass court season instead', 'murray beat possible french open farewell andy murray jack draper lose british campaign french open get inauspicious start', 'wimbledon emma raducanu andy murray set centre court day britain emma raducanu andy murray set centre court wimbledon get way monday']"
10,567,10_film_oscar_actor_award,"['film', 'oscar', 'actor', 'award', 'star', 'actress', 'hollywood', 'red carpet', 'carpet', 'bafta']","['oscar nomination the full list find film actor director vie golden statuette', 'oscar irish goodbye win best short film oscar irish goodbye win academy award best short film actor jam martin 31st brithday', 'baftas red carpet picture star turn style british film award big name film barbie oppenheimer saltburn step british award ceremony']"
11,441,11_covid_inquiry_vaccine_covid inquiry,"['covid', 'inquiry', 'vaccine', 'covid inquiry', 'pandemic', 'virus', 'infect', 'blood', 'jab', 'booster']","['covid inquiry abuse expert must stop whitty sir chris lament treatment give evidence covid inquiry pandemic preparedness', 'covid booster who get another jab autumn covid vaccine rule change risk offer another jab autumn', 'scotland properly prepare pandemic covid inquiry the covid inquiry westminster scottish government fail citizen']"
12,393,12_england_india_t20_test,"['england', 'india', 't20', 'test', 'pakistan', 'cricket', 'stoke', 'new zealand', 'zealand', 'wicket']","['icc cricket world cup highlight england slump eight wicket defeat sri lanka england world cup future hand lose eight wicket sri lanka bangalore cricket world cup', 'cricket world cup highlight england thrash new zealand oepner england defence world cup title begin nine wicket hammer hand new zealand ahmedabad india', 't20 world cup england beat pakistan win t20 world cup watch highlight ben stoke sam curran adil rashid star help england claim second t20 world cup title five wicket victory pakistan final']"
13,390,13_dog_animal_zoo_pet,"['dog', 'animal', 'zoo', 'pet', 'cat', 'owner', 'elephant', 'breed', 'bird', 'bear']","['pet bill lose kitten give cat cost animal care spiral charity go extreme length help family keep pet', 'meet china lose pet detective they help owner find lose animal teach look cat dog', 'give dog find somewhere rent animal lover force give pet order find somewhere live']"
